video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=nveVj-alhj4&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@WashingtonPost,Washington Post,What I want my daughters to know about poverty,14K weergaven,9 jaar geleden,Former television producer Darlena Cunha talks about the response to the op-ed she wrote about her experience with poverty ...,2024-01-28 00:46:09.446598
/watch?v=WwGRM4QWFlQ&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@Vox,Vox,How US corporations poisoned this Indigenous community,410K weergaven,1 jaar geleden,"Invisible chemicals changed the Mohawk way of life. They're probably in you, too. Subscribe and turn on notifications so you ...",2024-01-28 00:46:18.120789
/watch?v=e4HcI3Efijo&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@NickJohnson,Nick Johnson,The Poverty In America Is Absolutely Appalling,"2,6 mln. weergaven",4 jaar geleden,"In order to determine the poorest states, we measured the household income levels for each state, as well as the number of ...",2024-01-28 00:46:18.122994
/watch?v=tRPdVr9XglI&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@TheShonFieldShow,Graham Shonfield,Life on the Reserve - Documentary,33K weergaven,5 jaar geleden,"This documentary was filmed in Kiashke Zaaging Anishinaabek (Gull Bay) and goes over 6 aspects of life on a reserve: Water, ...",2024-01-28 00:46:18.124267
/watch?v=tWBDEWmAkF0&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@Forbes,Forbes,How The First Legal Native American Distillery Was Built | Forbes,2K weergaven,3 jaar geleden,"In spite of the pandemic, this summer the Chehalis tribe of western Washington opened a historic new enterprise—new not just for ...",2024-01-28 00:46:18.126108
/watch?v=WyVri9edOrU&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@ajplus,AJ+,Surviving On Peanut Butter & Crackers: Starving In West Virginia,"1,5 mln. weergaven",3 jaar geleden,"AJ+ traveled to West Virginia, a state where 1 in 7 adults and 1 in 5 children are hungry. What happens when a state like this gets ...",2024-01-28 00:46:18.128055
/watch?v=ec_tL0ZG2sI&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@CNN,CNN,The first are the poorest,39 weergaven,14 jaar geleden,CNN's John King travels to the Lakota Reservation in South Dakota -- part of the poorest county in America.,2024-01-28 00:46:18.129430
/watch?v=9z9QKRsiql8&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@TEDx,TEDx Talks,A brighter future through indigenous prosperity: Gabrielle Scrimshaw at TEDxToronto,76K weergaven,10 jaar geleden,"The fifth annual TEDxToronto conference took place on September 26, 2013 at The Royal Conservatory of Music. For our 2013 ...",2024-01-28 00:46:18.131318
/watch?v=JsAg-Ta8dFA&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@aljazeeraenglish,Al Jazeera English,Canada 150: Indigenous people remember dark past,106K weergaven,6 jaar geleden,"Canada marked its 150th birthday on Saturday, but few indigenous people were in the mood to celebrate. Activists used the ...",2024-01-28 00:46:18.132711
/watch?v=nntpgkOheQU&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@wellnessandcare,Wellness and Care by Laurie,This #uberdriver Driver Escaped Poverty And Achieved The American Dream In Washington Dc,44 weergaven,1 jaar geleden,This #uberdriver Escaped Poverty And Achieved The American Dream In Washington Dc Immigrants in the U.S. are 2x as likely to ...,2024-01-28 00:46:18.134243
