video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=O3N31GzTs8M&pp=ygUcc2VhdHRsZSBob21lbGVzc25lc3MgcG92ZXJ0eQ%3D%3D,/@KING5Seattle,KING 5 Seattle,Seattle mayor reveals action plan to combat homeless crisis,"4,3K weergaven",1 jaar geleden,"Harrell's action plan has six objectives to combat a crisis declared by Seattle's leadership as a ""state of emergency"" nearly seven ...",2024-01-27 23:46:04.196606
/watch?v=hKxGF-I_yAQ&pp=ygUcc2VhdHRsZSBob21lbGVzc25lc3MgcG92ZXJ0eQ%3D%3D,/@CBSMornings,CBS Mornings,"Seattle families live ""unsheltered"" in tent cities",55K weergaven,4 jaar geleden,"Some of America's wealthiest cities face a growing homeless crisis. In Seattle, there are housing shortages and rising rents, due in ...",2024-01-27 23:46:04.198333
/watch?v=USu4gup_-6s&pp=ygUcc2VhdHRsZSBob21lbGVzc25lc3MgcG92ZXJ0eQ%3D%3D,/@KING5Seattle,KING 5 Seattle,Arlington family’s struggle with homelessness reveals crisis of sheltering families,"2,6K weergaven",4 maanden geleden,A Snohomish County family's struggle to pull themselves out of homelessness exposes a crisis in sheltering families and the ...,2024-01-27 23:46:04.199921
/watch?v=caNwjTOUOdA&pp=ygUcc2VhdHRsZSBob21lbGVzc25lc3MgcG92ZXJ0eQ%3D%3D,/@KING5Seattle,KING 5 Seattle,"'Disappointing end result' for King County Regional Homelessness Authority's Partnership for Zero, e","2,3K weergaven",4 maanden geleden,"The King County Regional Homelessness Authority (KCRHA) announced it is ""winding down"" its Partnership for Zero pilot ...",2024-01-27 23:46:04.201713
/watch?v=VMjTKbUTaMs&pp=ygUcc2VhdHRsZSBob21lbGVzc25lc3MgcG92ZXJ0eQ%3D%3D,/@CNBC,CNBC,Why The U.S. Can’t Solve Homelessness,"1,1 mln. weergaven",2 jaar geleden,"The Covid pandemic caused a surge in housing costs and a rise in unemployment, leaving nearly 600000 Americans unhoused ...",2024-01-27 23:46:04.203571
/watch?v=1wCa6i9aM2o&pp=ygUcc2VhdHRsZSBob21lbGVzc25lc3MgcG92ZXJ0eQ%3D%3D,/@abcnewsaustralia,ABC News (Australia),This is what #vanlife is really like for this homeless woman | ABC News,224K weergaven,7 maanden geleden,"ABC News provides around the clock coverage of news events as they break in Australia and abroad, including the latest ...",2024-01-27 23:46:04.205161
/watch?v=-RwR5j5naFk&pp=ygUcc2VhdHRsZSBob21lbGVzc25lc3MgcG92ZXJ0eQ%3D%3D,/@fox13seattle,FOX 13 Seattle,Massive fire at homeless encampment sends flames sky-high | FOX 13 Seattle,7K weergaven,5 maanden geleden,"A massive fire broke out at a homeless encampment in Seattle's South Lake Union neighborhood, sending black smoke into the ...",2024-01-27 23:46:12.418768
/watch?v=kS9kWyAhri8&pp=ygUcc2VhdHRsZSBob21lbGVzc25lc3MgcG92ZXJ0eQ%3D%3D,/@KING5Seattle,KING 5 Seattle,Seattle spending on homelessness crisis,406 weergaven,5 jaar geleden,KING 5's Chris Daniels reports.,2024-01-27 23:46:12.420150
/watch?v=lUm_uUEmKwg&pp=ygUcc2VhdHRsZSBob21lbGVzc25lc3MgcG92ZXJ0eQ%3D%3D,/@KING5Seattle,KING 5 Seattle,Homeless encampment cleared near Green Lake in Seattle,10K weergaven,2 jaar geleden,A homeless encampment at Green Lake will be removed starting Monday. Sunday night people living in the park scrambled to ...,2024-01-27 23:46:12.421448
/watch?v=SJt3xuTPRVU&pp=ygUcc2VhdHRsZSBob21lbGVzc25lc3MgcG92ZXJ0eQ%3D%3D,/@Foxla,FOX 11 Los Angeles,Lost Angeles: City of Homeless,"5,5 mln. weergaven",1 jaar geleden,"FOX 11 delivers breaking news, live events, undercover investigations, police chases, true crime files, business news, celebrities ...",2024-01-27 23:46:12.423353
